Matricula,Modelo,Clasificación Energética, Consumo MIN, Consumo MAX, Emisiones MIN (gCO2/km), Emisiones MAX (gCO2/km), Motorización,kw_minimo,kw_maximo
0000 AAA,"Leapmotor C10 REEV 158kW-20,5kWh",A,0.4,6.4,10.0,144.0,Autonomía extendida,20.5,158.0
0001 AAA,"LEVC TX Icon, Vista",A,0.9,0.9,19.0,19.0,Autonomía extendida,,
0003 AAA,Nissan X-Trail e-POWER 152kW (204CV) 4x2 N-CONNECTA 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,152.0,152.0
0004 AAA,Nissan X-Trail e-POWER 152kW (204CV) 4x2 TEKNA 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,152.0,152.0
0005 AAA,Nissan X-Trail e-POWER 152kW (204CV) 4x2 TEKNA+ 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,152.0,152.0
0006 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE ACENTA 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0007 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE ACENTA 7P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0008 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE N-CONNECTA 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0009 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE N-CONNECTA 7P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0010 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE TEKNA 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0011 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE TEKNA 7P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0012 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE TEKNA+ 5P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
0013 AAA,Nissan X-Trail e-POWER 158kW (213CV) 4x4 e-4ORCE TEKNA+ 7P,C,7.1,7.5,198.7,207.7,Autonomía extendida,158.0,158.0
4801 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv B-TECH,E,5.7,5.7,147.0,147.0,Gasóleo,,
4802 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv GIULIETTA,E,5.7,5.7,147.0,147.0,Gasóleo,,
4803 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv SPORT,E,5.7,5.7,148.0,148.0,Gasóleo,,
4804 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv SUPER,E,5.7,5.7,147.0,147.0,Gasóleo,,
4805 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT GIULIETTA,E,5.7,5.7,151.0,151.0,Gasóleo,,
4806 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SPORT,E,5.8,5.8,151.0,151.0,Gasóleo,,
4807 AAA,Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SUPER,E,5.7,5.7,151.0,151.0,Gasóleo,,
4808 AAA,"Alfa Romeo Tonale 1,6 DS 130 CV SPRINT FWD",C,5.9,6.0,147.0,127.0,Gasóleo,,
4809 AAA,"Alfa Romeo Tonale 1,6 DS 130 CV SUPER FWD",C,5.6,6.0,146.0,154.0,Gasóleo,,
4810 AAA,"Alfa Romeo Tonale 1,6 DS 130 CV Ti FWD",C,5.6,6.0,147.0,154.0,Gasóleo,,
4811 AAA,Audi A3 allstreet Advanced 35 TDI 110(150) kW(CV) S tronic MY25,C,5.0,5.2,130.0,136.0,Gasóleo,,
4812 AAA,Audi A3 allstreet Genuine 35 TDI 110(150) kW(CV) S tronic MY25,D,5.1,5.3,134.0,140.0,Gasóleo,,
