Fecha,C.P.,Dirección,Horario,Latitud,Localidad,Longitud (WGS84),Margen,Municipio,Precio Adblue,Precio Amoniaco,Precio Biodiesel,Precio Bioetanol,Precio Biogas Natural Comprimido,Precio Biogas Natural Licuado,Precio Diésel Renovable,Precio Gas Natural Comprimido,Precio Gas Natural Licuado,Precio Gases licuados del petróleo,Precio Gasoleo A,Precio Gasoleo B,Precio Gasoleo Premium,Precio Gasolina 95 E10,Precio Gasolina 95 E25,Precio Gasolina 95 E5,Precio Gasolina 95 E5 Premium,Precio Gasolina 95 E85,Precio Gasolina 98 E10,Precio Gasolina 98 E5,Precio Gasolina Renovable,Precio Hidrogeno,Precio Metanol,Provincia,Remisión,Rótulo,Tipo Venta,% BioEtanol,% Éster metílico,IDEESS,IDMunicipio,IDProvincia,IDCCAA
01/01/2019 0:00:00,04510,"CARRETERA CARRETERA NACIONAL 324 KM. 268,1",L-D: 06:00-22:00,"37,144750",ABLA                     ,"-2,772778",I,Abla,,,,,,,,,,,"1,169","0,839","1,239",,,"1,219",,,,"1,379",,,,ALMERÍA,dm,CEPSA,P,"0,0","0,0",10241,280,04,01
01/01/2019 0:00:00,04770,AUTOVIA A-7 KM. 391,L-D: 24H,"36,765444",ADRA                     ,"-2,985778",N,Adra,,,,,,,,,,,"1,129","0,769","1,189",,,"1,179",,,,,,,,ALMERÍA,dm,CEPSA,P,"0,0","0,0",12113,282,04,01
01/01/2019 0:00:00,04770,"CARRETERA N-340 KM. 389,6",L: 06:00-22:00,"36,748056",ADRA                     ,"-3,003944",D,Adra,,,,,,,,,,,"1,129",,"1,209",,,"1,149",,,,"1,289",,,,ALMERÍA,OM,REPSOL,P,"0,0","0,0",5797,282,04,01
01/01/2019 0:00:00,04779,C.N. 340 km 393.9,L-D: 06:00-22:00,"36,760111",ADRA                     ,"-2,965167",I,Adra,,,,,,,,,,,"1,269","0,889",,,,,,,,,,,,ALMERÍA,dm,REPSOL,P,"0,0","0,0",10932,282,04,01
01/01/2019 0:00:00,04779,"AVENIDA LEGION ESPAÑOLA, 2",L-D: 24H,"36,758889",PUENTE DEL RIO           ,"-2,983333",D,Adra,,,,,,,,,,,"1,010",,,,,"1,067",,,,,,,,ALMERÍA,dm,CAMPOADRA,P,"0,0","0,0",11826,282,04,01
01/01/2019 0:00:00,04779,"CALLE BARCELONA, 2",L-D: 24H,"36,761639",PUENTE DEL RIO           ,"-2,983028",N,Adra,,,,,,,,,,,"1,011",,,,,"1,064",,,,,,,,ALMERÍA,dm,E.S CAMPOEJIDO ADRA,P,"0,0","0,0",12462,282,04,01
01/01/2019 0:00:00,04800,"CARRETERA A-334 KM. 72,300",L-D: 24H,"37,369472",ALBOX                    ,"-2,121083",D,Albox,,,,,,,,,,,"1,063","0,753",,,,,,,,,,,,ALMERÍA,dm,CARBURANTES ALMANZORA SL,P,"0,0","0,0",11829,285,04,01
01/01/2019 0:00:00,04800,"POLIGONO INDUSTRIAL ALBOX, APARTADO 148, S/N",L-D: 06:30-22:00,"37,384472",ALBOX                    ,"-2,176278",D,Albox,,,,,,,,,,,"1,079",,"1,139",,,"1,139",,,,,,,,ALMERÍA,dm,E.S.TERDIGUERA,P,"0,0","0,0",10382,285,04,01
01/01/2019 0:00:00,04800,"PARAJE LOS MOLINAS - SALIENTE ALTO, 21,700",L-D: 07:00-23:00,"37,493667",ALBOX                    ,"-2,150333",N,Albox,,,,,,,,,,,"1,179",,,,,"1,239",,,,,,,,ALMERÍA,dm,SUMINISTROS PETROLIFEROS NTRA. SRA. DEL SALIENTE S.L.,P,"0,0","0,0",7990,285,04,01
01/01/2019 0:00:00,04800,"CR HUERCAL-OVERA-VILLAC. KM  70,1",L-D: 24H,"37,379556",ALBOX                    ,"-2,135500",N,Albox,,,,,,,,,,,"1,153","0,813","1,244",,,,,,,"1,331",,,,ALMERÍA,dm,BP SAN JOSE,P,"0,0","0,0",6937,285,04,01
01/01/2019 0:00:00,04800,CARRETERA ESTACION KM. 0,L-S: 07:45-21:15,"37,386028",ALBOX                    ,"-2,148028",D,Albox,,,,,,,,,,,"1,109",,,,,"1,149",,,,,,,,ALMERÍA,dm,REPSOL,P,"0,0","0,0",6854,285,04,01
01/01/2019 0:00:00,04400,"CARRETERA A-348 KM. 138,830",L-D: 06:00-22:00,"36,949944",ALHAMA DE ALMERIA        ,"-2,555722",D,Alhama de Almería,,,,,,,,,,,"1,149","0,849","1,219",,,"1,189",,,,"1,289",,,,ALMERÍA,dm,REPSOL,P,"0,0","0,0",8944,290,04,01
01/01/2019 0:00:00,04002,"CARRETERA N-340A KM. 438,5",L-D: 24H,"36,829444",ALMERIA                  ,"-2,492667",I,Almería,,,,,,,,,,,"1,149",,"1,209",,,"1,179",,,,"1,294",,,,ALMERÍA,OM,BALLENOIL,P,"0,0","0,0",5641,292,04,01
